paradigm,subject,split,calib_size,n_epochs_total,n_calib,n_eval,calib_pos_rate,eval_pos_rate,calib_baseline_frac,eval_baseline_frac,n_purged,status
p300,1,stratified_task_only,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,stratified_task_only,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,purged_stratified,24,1728,24,1474,0.16666666666666666,0.16689280868385345,0.0,0.0,230,ok
p300,1,purged_stratified,48,1728,48,1254,0.16666666666666666,0.16267942583732056,0.0,0.0,426,ok
p300,1,purged_stratified,96,1728,96,935,0.16666666666666666,0.1657754010695187,0.0,0.0,697,ok
p300,1,purged_stratified,240,1728,240,332,0.16666666666666666,0.1566265060240964,0.0,0.0,1156,ok
p300,1,purged_stratified,480,1728,480,60,0.16666666666666666,0.16666666666666666,0.0,0.0,1188,ok
p300,2,temporal_array,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,temporal_array,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,temporal_array,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,temporal_array,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,temporal_array,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,temporal_chrono,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,temporal_chrono,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,temporal_chrono,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,temporal_chrono,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,temporal_chrono,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,stratified,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,stratified,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,stratified,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,stratified,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,stratified,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,stratified_task_only,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,stratified_task_only,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,stratified_task_only,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,stratified_task_only,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,stratified_task_only,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,2,purged_stratified,24,1728,24,1474,0.16666666666666666,0.16689280868385345,0.0,0.0,230,ok
p300,2,purged_stratified,48,1728,48,1254,0.16666666666666666,0.16267942583732056,0.0,0.0,426,ok
p300,2,purged_stratified,96,1728,96,935,0.16666666666666666,0.1657754010695187,0.0,0.0,697,ok
p300,2,purged_stratified,240,1728,240,332,0.16666666666666666,0.1566265060240964,0.0,0.0,1156,ok
p300,2,purged_stratified,480,1728,480,60,0.16666666666666666,0.16666666666666666,0.0,0.0,1188,ok
p300,3,temporal_array,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,temporal_array,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,temporal_array,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,temporal_array,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,temporal_array,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,temporal_chrono,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,temporal_chrono,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,temporal_chrono,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,temporal_chrono,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,temporal_chrono,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,stratified,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,stratified,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,stratified,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,stratified,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,stratified,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,stratified_task_only,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,stratified_task_only,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,stratified_task_only,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,stratified_task_only,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,stratified_task_only,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,3,purged_stratified,24,1728,24,1474,0.16666666666666666,0.16689280868385345,0.0,0.0,230,ok
p300,3,purged_stratified,48,1728,48,1254,0.16666666666666666,0.16267942583732056,0.0,0.0,426,ok
p300,3,purged_stratified,96,1728,96,935,0.16666666666666666,0.1657754010695187,0.0,0.0,697,ok
p300,3,purged_stratified,240,1728,240,332,0.16666666666666666,0.1566265060240964,0.0,0.0,1156,ok
p300,3,purged_stratified,480,1728,480,60,0.16666666666666666,0.16666666666666666,0.0,0.0,1188,ok
p300,4,temporal_array,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,temporal_array,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,temporal_array,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,temporal_array,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,temporal_array,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,temporal_chrono,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,temporal_chrono,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,temporal_chrono,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,temporal_chrono,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,temporal_chrono,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,stratified,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,stratified,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,stratified,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,stratified,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,stratified,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,stratified_task_only,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,stratified_task_only,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,stratified_task_only,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,stratified_task_only,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,stratified_task_only,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,4,purged_stratified,24,1728,24,1474,0.16666666666666666,0.16689280868385345,0.0,0.0,230,ok
p300,4,purged_stratified,48,1728,48,1254,0.16666666666666666,0.16267942583732056,0.0,0.0,426,ok
p300,4,purged_stratified,96,1728,96,935,0.16666666666666666,0.1657754010695187,0.0,0.0,697,ok
p300,4,purged_stratified,240,1728,240,332,0.16666666666666666,0.1566265060240964,0.0,0.0,1156,ok
p300,4,purged_stratified,480,1728,480,60,0.16666666666666666,0.16666666666666666,0.0,0.0,1188,ok
p300,5,temporal_array,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,temporal_array,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,temporal_array,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,temporal_array,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,temporal_array,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,temporal_chrono,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,temporal_chrono,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,temporal_chrono,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,temporal_chrono,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,temporal_chrono,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,stratified,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,stratified,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,stratified,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,stratified,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,stratified,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,stratified_task_only,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,stratified_task_only,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,stratified_task_only,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,stratified_task_only,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,stratified_task_only,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,5,purged_stratified,24,1728,24,1474,0.16666666666666666,0.16689280868385345,0.0,0.0,230,ok
p300,5,purged_stratified,48,1728,48,1254,0.16666666666666666,0.16267942583732056,0.0,0.0,426,ok
p300,5,purged_stratified,96,1728,96,935,0.16666666666666666,0.1657754010695187,0.0,0.0,697,ok
p300,5,purged_stratified,240,1728,240,332,0.16666666666666666,0.1566265060240964,0.0,0.0,1156,ok
p300,5,purged_stratified,480,1728,480,60,0.16666666666666666,0.16666666666666666,0.0,0.0,1188,ok
p300,6,temporal_array,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,temporal_array,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,temporal_array,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,temporal_array,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,temporal_array,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,temporal_chrono,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,temporal_chrono,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,temporal_chrono,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,temporal_chrono,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,temporal_chrono,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,stratified,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,stratified,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,stratified,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,stratified,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,stratified,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,stratified_task_only,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,stratified_task_only,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,stratified_task_only,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,stratified_task_only,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,stratified_task_only,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,6,purged_stratified,24,1728,24,1474,0.16666666666666666,0.16689280868385345,0.0,0.0,230,ok
p300,6,purged_stratified,48,1728,48,1254,0.16666666666666666,0.16267942583732056,0.0,0.0,426,ok
p300,6,purged_stratified,96,1728,96,935,0.16666666666666666,0.1657754010695187,0.0,0.0,697,ok
p300,6,purged_stratified,240,1728,240,332,0.16666666666666666,0.1566265060240964,0.0,0.0,1156,ok
p300,6,purged_stratified,480,1728,480,60,0.16666666666666666,0.16666666666666666,0.0,0.0,1188,ok
p300,7,temporal_array,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,temporal_array,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,temporal_array,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,temporal_array,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,temporal_array,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,temporal_chrono,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,temporal_chrono,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,temporal_chrono,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,temporal_chrono,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,temporal_chrono,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,stratified,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,stratified,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,stratified,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,stratified,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,stratified,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,stratified_task_only,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,stratified_task_only,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,stratified_task_only,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,stratified_task_only,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,stratified_task_only,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,7,purged_stratified,24,1728,24,1474,0.16666666666666666,0.16689280868385345,0.0,0.0,230,ok
p300,7,purged_stratified,48,1728,48,1254,0.16666666666666666,0.16267942583732056,0.0,0.0,426,ok
p300,7,purged_stratified,96,1728,96,935,0.16666666666666666,0.1657754010695187,0.0,0.0,697,ok
p300,7,purged_stratified,240,1728,240,332,0.16666666666666666,0.1566265060240964,0.0,0.0,1156,ok
p300,7,purged_stratified,480,1728,480,60,0.16666666666666666,0.16666666666666666,0.0,0.0,1188,ok
p300,8,temporal_array,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,temporal_array,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,temporal_array,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,temporal_array,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,temporal_array,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,temporal_chrono,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,temporal_chrono,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,temporal_chrono,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,temporal_chrono,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,temporal_chrono,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,stratified,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,stratified,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,stratified,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,stratified,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,stratified,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,stratified_task_only,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,stratified_task_only,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,stratified_task_only,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,stratified_task_only,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,stratified_task_only,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,8,purged_stratified,24,1728,24,1474,0.16666666666666666,0.16689280868385345,0.0,0.0,230,ok
p300,8,purged_stratified,48,1728,48,1254,0.16666666666666666,0.16267942583732056,0.0,0.0,426,ok
p300,8,purged_stratified,96,1728,96,935,0.16666666666666666,0.1657754010695187,0.0,0.0,697,ok
p300,8,purged_stratified,240,1728,240,332,0.16666666666666666,0.1566265060240964,0.0,0.0,1156,ok
p300,8,purged_stratified,480,1728,480,60,0.16666666666666666,0.16666666666666666,0.0,0.0,1188,ok
p300,9,temporal_array,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,temporal_array,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,temporal_array,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,temporal_array,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,temporal_array,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,temporal_chrono,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,temporal_chrono,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,temporal_chrono,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,temporal_chrono,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,temporal_chrono,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,stratified,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,stratified,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,stratified,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,stratified,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,stratified,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,stratified_task_only,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,stratified_task_only,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,stratified_task_only,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,stratified_task_only,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,stratified_task_only,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,9,purged_stratified,24,1728,24,1474,0.16666666666666666,0.16689280868385345,0.0,0.0,230,ok
p300,9,purged_stratified,48,1728,48,1254,0.16666666666666666,0.16267942583732056,0.0,0.0,426,ok
p300,9,purged_stratified,96,1728,96,935,0.16666666666666666,0.1657754010695187,0.0,0.0,697,ok
p300,9,purged_stratified,240,1728,240,332,0.16666666666666666,0.1566265060240964,0.0,0.0,1156,ok
p300,9,purged_stratified,480,1728,480,60,0.16666666666666666,0.16666666666666666,0.0,0.0,1188,ok
p300,10,temporal_array,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,temporal_array,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,temporal_array,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,temporal_array,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,temporal_array,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,temporal_chrono,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,temporal_chrono,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,temporal_chrono,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,temporal_chrono,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,temporal_chrono,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,stratified,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,stratified,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,stratified,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,stratified,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,stratified,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,stratified_task_only,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,stratified_task_only,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,stratified_task_only,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,stratified_task_only,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,stratified_task_only,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,10,purged_stratified,24,1728,24,1474,0.16666666666666666,0.16689280868385345,0.0,0.0,230,ok
p300,10,purged_stratified,48,1728,48,1254,0.16666666666666666,0.16267942583732056,0.0,0.0,426,ok
p300,10,purged_stratified,96,1728,96,935,0.16666666666666666,0.1657754010695187,0.0,0.0,697,ok
p300,10,purged_stratified,240,1728,240,332,0.16666666666666666,0.1566265060240964,0.0,0.0,1156,ok
p300,10,purged_stratified,480,1728,480,60,0.16666666666666666,0.16666666666666666,0.0,0.0,1188,ok
